prefLabel (English),Translation prefLabel (Spanish),Identifier,altLabel (English),Translation altLabel (Spanish),Description/Scope Note (English),Description/Scope Note (Spanish),translationNote,historyNote (English),historyNote (Spanish),"Comments (Ernesto, postdoc)"
Performance art,Arte escénico,homoit0001102,,,"Art created through actions performed by the artist or other participants, typically for a live audience.","Arte creado a través de acciones realizadas por el artista u otros participantes, generalmente para una audiencia en vivo.",,,,"--> Check GNL SN ES ""el artista"" and ""otros participantes"""
Performative LGBTQ+ activism by police,Activismo performativo LGBTQ+ de la policía,homoit0002396,"Gay copaganda||
LGBTQ+ copaganda||
Pinkwashing by police officers||
Pride patches on police uniforms||
Rainbow colored patrol cars||
Rainbow hate crime cars||
Rainbow-hued police cars||
Rainbow-painted police cars||
Rainbow-washing by police officers","Copaganda gay|| 
Copaganda LGBTQ+ ","LGBTQ+ activism undertaken by police organizations and institutions which intends to increase the social capital of such institutions, rather than to actually serve LGBTQ+ communities.","Activismo LGBTQ+ emprendido por organizaciones e instituciones policiales que pretende aumentar el capital social de dichas instituciones, en lugar de servir realmente a las comunidades LGBTQ+.",,,,
Persecution of asexual people,Persecución de personas asexuales,homoit0002912,,,Systematic mistreatment of asexual people on the basis of their sexual identity.,Maltrato sistemático a personas asexuales por su identidad sexual.,,,,
Persecution of bisexual people,Persecución de personas bisexuales,homoit0001103,,,Systematic mistreatment of bisexual people on the basis of their sexual identity.,Maltrato sistemático a personas bisexuales por su identidad sexual.,,,,
Persecution of gay men,Persecución de hombres gay,homoit0001104,,,Systematic mistreatment of gay men on the basis of their sexual identity.,Maltrato sistemático a hombres gay por su identidad sexual.,,,,
Persecution of intersex people,Persecución de personas intersexuales,homoit0002744,,Persecución de personas intersex,Systematic mistreatment of intersex people on the basis of their sex or gender identity.,Maltrato sistemático a personas intersexuales por razón de su sexo o identidad de género.,,,,
Persecution of lesbians,Persecución de lesbianas,homoit0001105,,,Systematic mistreatment of lesbians on the basis of their sexual identity.,Maltrato sistemático a lesbianas por su identidad sexual.,,,,
Persecution of queer people,Persecución de personas queer,homoit0001106,,,Systematic mistreatment of queer people on the basis of their gender and/or sexual identities.,Maltrato sistemático a personas queer por su género y/o identidad sexual.,,,,
Persecution of transgender people,Persecución de personas transgénero ,homoit0001107,,,Systematic mistreatment of transgender people on the basis of their gender identity.,Maltrato sistemático a personas transgénero por su identidad de género.,,,,
Persistent Müllerian duct syndrome,Síndrome de persistencia de los conductos müllerianos,homoit0002871,PMDS,,"People with Persistent Müllerian duct syndrome (PMDS) have XY chromosomes, male-typical reproductive organs and external genitalia, and some component(s) of a female-typical reproductive tract, such as a uterus, fallopian tubes, and/or upper vaginal canal. PMDS occurs when the Müllerian ducts—internal structures that ordinarily break down in an XY fetus—remain and develop as they would in an XX fetus. PMDS is ordinarily not diagnosed at birth, and individuals with this variation often have a male gender identity.","Las personas con síndrome de conducto mülleriano persistente (PMDS, por sus siglas en inglés) tienen cromosomas XY, órganos reproductores y genitales externos típicos masculinos y algunos componentes de un aparato reproductor típico femenino, como útero, trompas de Falopio y/o canal vaginal superior. El SDMP se produce cuando los conductos müllerianos -estructuras internas que normalmente se rompen en un feto XY- permanecen y se desarrollan como lo harían en un feto XX. El SDMP no suele diagnosticarse al nacer, y las personas con esta variante suelen tener una identidad de género masculina.",,,,
Phallic sex,Sexo fálico,homoit0001109,,,"Sexual stimulation or sexual practices involving penises or phallic objects (e.g., dildos).","Estimulación sexual o prácticas sexuales que involucran penes u objetos fálicos (por ejemplo, consoladores).",,,,
Phalloplasty,Faloplastia,homoit0001850,"Phallo||
Vagina-preserving phalloplasty",Flaplatia preservando la vagina,Surgical construction of the penis.,Construcción quirúrgica del pene.,,,,
Phone sex,Sexo por teléfono ,homoit0001110,Telephone sex,Sexo telefónico ,"Sexual encounters that take place over the phone, whether in a phone call or on a video call using a smartphone.","Encuentros sexuales que se desarrollan a través del teléfono, ya sea en una llamada telefónica o en una videollamada mediante un smartphone.",,,,
Phone sex workers,Trabajadores sexuales por telefono,homoit0001111,Phone sex operators || Telephone sex workers,Operadores de sexo por teléfono,,,,,,"--> SN EN and ES, why there are not SN?
--> Check GNL for ""trabajadores"" in prefLab ES and ""operadores"" in altLab ES"
Physical affection,Afecto físico,homoit0001112,,Cariño físico ,"Touch between two or more people intended to arouse or convey feelings of closeness; can be used to express sexual or non-sexual intimacy and includes actions such as kissing, cuddling, embracing, and holding hands.","Tacto entre dos o más personas destinado a despertar o transmitir sentimientos de cercanía; se puede utilizar para expresar intimidad sexual o no sexual e incluye acciones como besar, abrazar, sostener y tomar de la mano.",,,,
Physical health care for LGBTQ+ people,Asistencia médica física para personas LGBTQ+,homoit0001113,Physical health care for LGBTQ people,"Asistencia médica física para personas LGBTQ|| 
Cuidado de la salud física para personas LGBTQ|| 
Atención médica física para personas LGBTQ","Organized measures taken for the maintenance, treatment, or improvement of physical health or conditions of the body; use in reference to physical health care addressing the particular needs of LGBTQ+ individuals or communities.","Medidas organizadas tomadas para el mantenimiento, el tratamiento o la mejora de la salud física o las condiciones del cuerpo; utilícese en referencia a la atención de la salud física que aborda las necesidades particulares de personas o comunidades LGBTQ+.",,,,
Piblings,Tíes ,homoit0002293,,Tixs || ,"Gender-neutral term used to refer to the siblings or siblings-in-law of one's parents; an alternative to ""aunts"" or ""uncles.""","Término de género neutro utilizado para referirse a los hermanos o cuñados de los padres; una alternativa a ""tías"" o ""tíos"".",,,,
Piercing play,Juego de piercing,homoit0003077,"Needle play||
Play piercing",Juego con piercings || Juego de perforación || Juego con perforaciones ,"Temporary piercing of a body, usually for aesthetic, erotic, or sexual purposes.","Perforación temporal de un cuerpo, generalmente con fines estéticos, eróticos o sexuales.",,,,
Piercings,Piercings,homoit0001114,,"Perforación|| 
Perforaciones","Small holes or openings made in parts of the body to insert jewelry or implants, whether for aesthetic purposes, spiritual or religious reasons, or sexual pleasure.","Pequeños agujeros o aperturas realizadas en partes del cuerpo para insertar joyas o implantes, ya sea con fines estéticos, espirituales o religiosos, o por placer sexual.",,,,
Pinching,Pellizcar,homoit0001115,,,"Form of manual stimulation involving gripping, pulling, or putting tension on parts of one’s body or another person's body for sexual stimulation, arousal, or pleasure.","Forma de estimulación manual que implica agarrar, jalar, o poner tensión en partes del cuerpo de una misma persona o de otra persona para estimulación, excitación o placer sexual.",,,,
Pink triangles,Triángulos rosas,homoit0001116,Triángulos rosados,Triángulos rosados,"International symbol of gay pride and the gay rights movement that symbolizes the reclamation of the pink triangles used in Nazi Germany to identify gay men (and, later, bisexual men and transgender women) who were sent to concentration camps.","Símbolo internacional del orgullo gay y del movimiento por los derechos gay que simboliza la reclamación de los triángulos rosas utilizados en la Alemania nazi para identificar a los hombres gay (y, eventualmente, a los hombres bisexuales y las mujeres transgénero) que fueron enviados a campos de concentración.",,,,
